head	rel	tail	hastscore	hasescore	hasdscore
3110	0	6110	1.0	1.0	1.0
660	0	4393	1.0	1.0	1.0
555	0	4719	1.0	1.0	1.0
458	0	7702	1.0	1.0	1.0
517	0	4915	1.0	1.0	1.0
1450	0	892	1.0	1.0	1.0
1725	0	1737	1.0	1.0	1.0
1565	0	5394	1.0	1.0	1.0
1470	0	4523	1.0	1.0	1.0
660	0	5881	1.0	1.0	1.0
877	0	6470	1.0	1.0	1.0
766	0	2082	1.0	1.0	1.0
2303	0	6495	1.0	1.0	1.0
470	0	3084	1.0	1.0	1.0
1984	0	9134	1.0	1.0	1.0
266	0	5282	1.0	1.0	1.0
153	0	5446	1.0	1.0	1.0
133	0	6397	1.0	1.0	1.0
233	0	6115	1.0	1.0	1.0
1455	0	2437	1.0	1.0	1.0
1100	0	4291	1.0	1.0	1.0
638	0	433	1.0	1.0	1.0
1335	0	8454	1.0	1.0	1.0
624	0	9187	1.0	1.0	1.0
14	0	6989	1.0	1.0	1.0
493	0	5714	1.0	1.0	1.0
1419	0	5179	1.0	1.0	1.0
779	0	4521	1.0	1.0	1.0
1124	0	8074	1.0	1.0	1.0
1077	0	4212	1.0	1.0	1.0
2804	0	5018	1.0	1.0	1.0
458	0	5019	1.0	1.0	1.0
957	0	3216	1.0	1.0	1.0
1493	0	1975	1.0	1.0	1.0
1779	0	6494	1.0	1.0	1.0
3211	0	7932	1.0	1.0	1.0
604	0	2214	1.0	1.0	1.0
944	0	8473	1.0	1.0	1.0
1470	0	4113	1.0	1.0	1.0
22	0	2827	1.0	1.0	1.0
464	0	3799	1.0	1.0	1.0
266	0	3146	1.0	1.0	1.0
521	0	4647	1.0	1.0	1.0
1786	0	1247	1.0	1.0	1.0
2884	0	2885	1.0	1.0	1.0
2224	0	6647	1.0	1.0	1.0
586	0	3493	1.0	1.0	1.0
578	0	5102	1.0	1.0	1.0
603	0	4950	1.0	1.0	1.0
408	0	8550	1.0	1.0	1.0
555	0	1232	1.0	1.0	1.0
782	0	4865	1.0	1.0	1.0
233	0	5760	1.0	1.0	1.0
480	0	4713	1.0	1.0	1.0
2260	0	5042	1.0	1.0	1.0
1206	0	6614	1.0	1.0	1.0
332	0	4955	1.0	1.0	1.0
695	0	1916	1.0	1.0	1.0
608	0	7617	1.0	1.0	1.0
464	0	1544	1.0	1.0	1.0
416	0	5388	1.0	1.0	1.0
464	0	7734	1.0	1.0	1.0
1299	0	706	1.0	1.0	1.0
1116	0	1117	1.0	1.0	1.0
438	0	8784	1.0	1.0	1.0
1409	0	780	1.0	1.0	1.0
642	0	6407	1.0	1.0	1.0
464	0	417	1.0	1.0	1.0
1397	0	5060	1.0	1.0	1.0
1759	0	4772	1.0	1.0	1.0
660	0	2477	1.0	1.0	1.0
1001	0	6300	1.0	1.0	1.0
173	0	613	1.0	1.0	1.0
889	0	3296	1.0	1.0	1.0
779	0	8236	1.0	1.0	1.0
695	0	8965	1.0	1.0	1.0
1364	0	6431	1.0	1.0	1.0
642	0	8584	1.0	1.0	1.0
574	0	4965	1.0	1.0	1.0
736	0	5354	1.0	1.0	1.0
2570	0	459	1.0	1.0	1.0
1893	0	6835	1.0	1.0	1.0
77	0	8322	1.0	1.0	1.0
715	0	3974	1.0	1.0	1.0
1081	0	6876	1.0	1.0	1.0
1226	0	4286	1.0	1.0	1.0
1348	0	5980	1.0	1.0	1.0
757	0	7952	1.0	1.0	1.0
648	0	2298	1.0	1.0	1.0
666	0	2843	1.0	1.0	1.0
2239	0	7489	1.0	1.0	1.0
648	0	801	1.0	1.0	1.0
4016	0	4601	1.0	1.0	1.0
81	0	3675	1.0	1.0	1.0
902	0	6249	1.0	1.0	1.0
1634	0	7563	1.0	1.0	1.0
555	0	3461	1.0	1.0	1.0
947	0	3232	1.0	1.0	1.0
642	0	4513	1.0	1.0	1.0
574	0	4782	1.0	1.0	1.0
1526	0	9059	1.0	1.0	1.0
1718	0	3065	1.0	1.0	1.0
1398	0	6614	1.0	1.0	1.0
660	0	8429	1.0	1.0	1.0
1005	0	6542	1.0	1.0	1.0
458	0	6185	1.0	1.0	1.0
1158	0	7655	1.0	1.0	1.0
660	0	5342	1.0	1.0	1.0
1042	0	4102	1.0	1.0	1.0
705	0	2467	1.0	1.0	1.0
1596	0	4286	1.0	1.0	1.0
