6099	0	3731	1.0
6616	0	521	1.0
3392	0	719	1.0
8723	0	1800	1.0
7446	0	277	1.0
5861	0	1377	1.0
8044	0	511	1.0
6023	0	246	1.0
5922	0	1800	1.0
8119	0	1751	1.0
3615	0	2138	1.0
5201	0	511	1.0
3667	0	1150	1.0
4786	0	210	1.0
6046	0	511	1.0
7270	0	1251	1.0
7425	0	4366	1.0
4363	0	1048	1.0
807	0	117	1.0
2651	0	1325	1.0
8764	0	4614	1.0
1771	0	1702	1.0
2328	0	609	1.0
4166	0	1644	1.0
1547	0	1251	1.0
1144	0	5561	1.0
3872	0	4171	1.0
8045	0	401	1.0
6072	0	1112	1.0
5522	0	3601	1.0
3032	0	1702	1.0
7985	0	3959	1.0
7068	0	3112	1.0
7309	0	3288	1.0
6434	0	1638	1.0
1412	0	7168	1.0
7673	0	3935	1.0
3896	0	521	1.0
3778	0	1972	1.0
2620	0	511	1.0
3126	0	725	1.0
6264	0	769	1.0
8051	0	1430	1.0
3824	0	1808	1.0
3876	0	1437	1.0
7442	0	2982	1.0
2481	0	1378	1.0
6396	0	678	1.0
9063	0	511	1.0
3891	0	3318	1.0
1070	0	210	1.0
5155	0	816	1.0
7491	0	621	1.0
7959	0	3002	1.0
8831	0	531	1.0
3915	0	1535	1.0
5891	0	117	1.0
6557	0	2654	1.0
4029	0	778	1.0
5469	0	3297	1.0
3213	0	88	1.0
4289	0	769	1.0
4791	0	725	1.0
7056	0	5797	1.0
7522	0	3547	1.0
8619	0	1495	1.0
6311	0	2704	1.0
3300	0	4884	1.0
2245	0	246	1.0
6650	0	131	1.0
6934	0	1650	1.0
8365	0	5395	1.0
2700	0	2856	1.0
9067	0	35	1.0
3775	0	1378	1.0
2058	0	3641	1.0
5405	0	2138	1.0
7675	0	4599	1.0
7218	0	3045	1.0
2186	0	860	1.0
8293	0	2028	1.0
4668	0	1716	1.0
9050	0	3380	1.0
6554	0	35	1.0
4130	0	138	1.0
4499	0	2889	1.0
2033	0	2034	1.0
5755	0	246	1.0
5871	0	4565	1.0
7702	0	4296	1.0
8778	0	246	1.0
5830	0	2855	1.0
5803	0	521	1.0
7764	0	1800	1.0
8705	0	35	1.0
9064	0	35	1.0
6885	0	1495	1.0
5917	0	615	1.0
6424	0	5938	1.0
4871	0	1251	1.0
3626	0	352	1.0
5837	0	1916	1.0
4746	0	548	1.0
5038	0	678	1.0
6983	0	2335	1.0
2632	0	2888	1.0
773	0	5289	1.0
5453	0	2840	1.0
8279	0	2518	1.0
7177	0	5512	1.0
6154	0	1	1.0
7889	0	401	1.0
7871	0	837	1.0
7417	0	401	1.0
3155	0	401	1.0
4428	0	2199	1.0
6159	0	2851	1.0
1047	0	2017	1.0
5727	0	3639	1.0
4266	0	511	1.0
1438	0	1363	1.0
6602	0	422	1.0
325	0	246	1.0
4587	0	1786	1.0
7936	0	1378	1.0
4549	0	1634	1.0
1238	0	1349	1.0
724	0	2669	1.0
5956	0	277	1.0
1506	0	4490	1.0
5866	0	401	1.0
4418	0	5114	1.0
957	0	651	1.0
8108	0	326	1.0
7881	0	1251	1.0
8933	0	88	1.0
8984	0	3624	1.0
1709	0	678	1.0
4549	0	246	1.0
3921	0	326	1.0
4979	0	5756	1.0
3530	0	3531	1.0
8898	0	511	1.0
7975	0	5560	1.0
3319	0	4086	1.0
6893	0	138	1.0
6647	0	3233	1.0
8539	0	860	1.0
3276	0	1702	1.0
3842	0	791	1.0
1336	0	88	1.0
5282	0	2422	1.0
8026	0	2908	1.0
3015	0	686	1.0
6903	0	401	1.0
1807	0	511	1.0
5668	0	1207	1.0
4548	0	2936	1.0
8061	0	118	1.0
