entity,id
Sample_GSM1317972,249
Protein_HPS6,250
Protein_NCBP2,251
Reaction_R-HSA-75083,252
Pathway_R-HSA-9830674,253
Pathway_R-HSA-1266738,254
Sample_GSM1317904,255
GO_0005654_instance,256
Protein_FCGR3A,257
Protein_CDC26,258
GO_0005488_instance,259
Sample_GSM1318015,260
Protein_RSU1,261
Reaction_R-HSA-5607759,262
Pathway_R-HSA-5607764,263
Reaction_R-HSA-167429,264
Pathway_R-HSA-418594,265
Sample_GSM1317989,266
Sample_GSM1317991,267
Protein_LILRA2,268
Protein_ACOX1,269
Protein_AP5M1,270
Protein_BLOC1S6,271
GO_0051179_instance,272
Sample_GSM1317986,273
Reaction_R-HSA-9032761,274
Protein_ISY1,275
Pathway_R-HSA-6782135,276
Protein_ISG15,277
Protein_TAF2,278
Sample_GSM1317967,279
Protein_CMPK1,280
Protein_DECR1,281
Protein_TBC1D2B,282
Protein_RNPS1,283
GO_0006351_instance,284
Protein_NUB1,285
Protein_PTGER4,286
Protein_RNF216,287
Protein_AOC1,288
Pathway_R-HSA-211945,289
Sample_GSM1317902,290
Protein_TOPBP1,291
Protein_PHF23,292
Reaction_R-HSA-5690740,293
Pathway_R-HSA-1280218,294
Protein_KDM3A,295
Protein_ARPP19,296
Protein_IDH2,297
GO_1903561_instance,298
Reaction_R-HSA-508292,299
Pathway_R-HSA-1280215,300
Protein_PCBP1,301
Sample_GSM1317978,302
Protein_NDUFA11,303
Protein_CYBC1,304
Protein_PPP3CA,305
GO_0022402_instance,306
Pathway_R-HSA-450321,307
Pathway_R-HSA-975871,308
Protein_STK11IP,309
GO_0043227_instance,310
Protein_L3MBTL2,311
GO_0070013_instance,312
Protein_PRC1,313
Protein_ABCF1,314
Sample_GSM1317912,315
Sample_GSM1317916,316
Protein_DARS1,317
Protein_EEF1D,318
Protein_MIEF1,319
GO_0036094_instance,320
Pathway_R-HSA-9664323,321
Pathway_R-HSA-5663205,322
Protein_NF1,323
GO_0071840_instance,324
Sample_GSM1317899,325
Protein_TMEM43,326
GO_0005783_instance,327
Protein_ATN1,328
GO_0060255_instance,329
Sample_GSM1318033,330
Protein_TMED7,331
Sample_GSM1317906,332
Protein_GORASP1,333
Sample_GSM1318057,334
Protein_TMEM147,335
Protein_KPNA6,336
Sample_GSM1317981,337
Protein_AKAP8L,338
Protein_MEX3C,339
Pathway_0000000,340
Sample_GSM1317960,341
Protein_NUP50,342
Protein_CCNG1,343
Protein_RPS9,344
Sample_GSM1318024,345
Protein_PKN1,346
Protein_H4C3,347
Reaction_R-HSA-9854130,348
Sample_GSM1318000,349
Protein_TWSG1,350
Protein_ERGIC2,351
Protein_MBP,352
Protein_KMT2E,353
Sample_GSM1317983,354
Protein_PCNX3,355
Protein_SHC1,356
Reaction_R-HSA-2396561,357
Sample_GSM1317966,358
Protein_TATDN2,359
Protein_SURF4,360
Reaction_R-HSA-183072,361
Pathway_R-HSA-177929,362
Protein_FUBP3,363
Protein_TSEN15,364
Protein_JMJD1C,365
Protein_PIDD1,366
Reaction_R-HSA-6800793,367
Sample_GSM1318022,368
Protein_COQ10B,369
Protein_RBM23,370
Protein_YWHAE,371
GO_0002831_instance,372
Protein_CERS2,373
GO_0048585_instance,374
Protein_NEDD9,375
GO_0045637_instance,376
Protein_DNAJB14,377
Sample_GSM1317901,378
Protein_CEBPZ,379
Sample_GSM1318005,380
Protein_NUP214,381
Sample_GSM1318028,382
Reaction_R-HSA-9924921,383
Pathway_R-HSA-9909620,384
Protein_PEX5,385
GO_0015031_instance,386
Protein_BAG5,387
GO_0051603_instance,388
Protein_INO80E,389
GO_0044877_instance,390
Protein_TUT7,391
Protein_GOLPH3L,392
Protein_FYB1,393
Protein_IFRD1,394
GO_0051128_instance,395
Protein_TUBG1,396
GO_0005819_instance,397
Protein_CNDP2,398
Protein_BAX,399
Protein_SNX10,400
Reaction_R-HSA-379044,401
Pathway_R-HSA-372790,402
Protein_RHOB,403
Protein_RAD21,404
Sample_GSM1318023,405
Protein_RESF1,406
Protein_EXOC7,407
Pathway_R-HSA-2980736,408
Protein_PPP6R3,409
Protein_AP2A2,410
Sample_GSM1317907,411
Protein_ARFGEF1,412
Sample_GSM1317969,413
Protein_POLR2C,414
Sample_GSM1317920,415
Protein_ZSWIM8,416
Sample_GSM1317995,417
Protein_SLC35B2,418
Protein_LY6E,419
Protein_HERC6,420
GO_0009056_instance,421
Sample_GSM1317948,422
Protein_TNFAIP8,423
Protein_CAPZA1,424
Protein_STAM2,425
Pathway_R-HSA-182971,426
Sample_GSM1318014,427
Protein_POLDIP3,428
Reaction_R-HSA-3928641,429
Protein_PTK2B,430
GO_0032101_instance,431
Sample_GSM1317939,432
Protein_TNPO3,433
Reaction_R-HSA-3132737,434
Protein_CHD4,435
Reaction_R-HSA-9844536,436
Sample_GSM1317962,437
Protein_TMEM230,438
Protein_PARP10,439
Protein_NAA16,440
Protein_NUP54,441
Reaction_R-HSA-159050,442
Protein_TMEM106B,443
GO_0005737_instance,444
Protein_KAT6A,445
GO_0043412_instance,446
Protein_PPWD1,447
Protein_ACTN4,448
Sample_GSM1317898,449
Protein_F11R,450
Sample_GSM1318039,451
Protein_MOB4,452
Protein_FCGR3B,453
Protein_MAPK1,454
Pathway_R-HSA-913531,455
Sample_GSM1317935,456
Protein_MPC1,457
Protein_STAB1,458
GO_0043229_instance,459
Protein_GSDMB,460
GO_0006950_instance,461
